vendor name,Model Name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP
adviser,32/60,0.07282535401213756,0.006012024048096192,0.09284284284284285,1.0,0.3076923076923077,0.7272727272727273,198
amdahl,470v/7,0.008091706001348618,0.24849699398797595,0.4994994994994995,0.125,0.15384615384615385,0.18181818181818182,269
amdahl,470v/7a,0.008091706001348618,0.24849699398797595,0.4994994994994995,0.125,0.15384615384615385,0.18181818181818182,220
amdahl,470v/7b,0.008091706001348618,0.24849699398797595,0.4994994994994995,0.125,0.15384615384615385,0.18181818181818182,172
amdahl,470v/7c,0.008091706001348618,0.24849699398797595,0.24924924924924924,0.125,0.15384615384615385,0.09090909090909091,132
amdahl,470v/b,0.006068779501011463,0.24849699398797595,0.4994994994994995,0.25,0.15384615384615385,0.18181818181818182,318
amdahl,580-5840,0.004045853000674309,0.49899799599198397,0.4994994994994995,0.25,0.3076923076923077,0.18181818181818182,367
amdahl,580-5850,0.004045853000674309,0.49899799599198397,0.4994994994994995,0.25,0.3076923076923077,0.18181818181818182,489
amdahl,580-5860,0.004045853000674309,0.49899799599198397,1.0,0.25,0.3076923076923077,0.18181818181818182,636
amdahl,580-5880,0.004045853000674309,1.0,1.0,0.5,0.6153846153846154,0.36363636363636365,1144
apollo,dn320,0.25826028320971006,0.02930861723446894,0.04592092092092092,0.0,0.019230769230769232,0.011363636363636364,38
apollo,dn420,0.25826028320971006,0.014028056112224449,0.053741241241241244,0.015625,0.019230769230769232,0.03409090909090909,40
basf,7/65,0.02899527983816588,0.06062124248496994,0.12412412412412413,0.25390625,0.019230769230769232,0.045454545454545456,92
basf,7/68,0.022252191503708697,0.12324649298597194,0.24924924924924924,0.25390625,0.019230769230769232,0.045454545454545456,138
bti,5000,0.22454484153742413,0.0,0.0,0.0,0.019230769230769232,0.022727272727272728,10
bti,8000,0.12339851652056642,0.014028056112224449,0.24924924924924924,0.0,0.07692307692307693,0.18181818181818182,35
burroughs,b1955,0.10114632501685772,0.014403807615230461,0.03028028028028028,0.03125,0.07692307692307693,0.08522727272727272,19
burroughs,b2900,0.08496291301416048,0.014028056112224449,0.0772022022022022,0.0,0.1346153846153846,0.18181818181818182,28
burroughs,b2925,0.08496291301416048,0.02930861723446894,0.03028028028028028,0.0,0.09615384615384616,0.09090909090909091,31
burroughs,b4955,0.06271072151045179,0.15455911823647295,0.0772022022022022,0.5546875,0.15384615384615385,0.36363636363636365,120
burroughs,b5900,0.08496291301416048,0.04496492985971944,0.09753503503503504,0.0,0.09615384615384616,0.18181818181818182,30
burroughs,b5920,0.08496291301416048,0.09506513026052105,0.09597097097097097,0.0,0.09615384615384616,0.11363636363636363,33
burroughs,b6900,0.08496291301416048,0.07001503006012023,0.09597097097097097,0.0,0.11538461538461539,0.36363636363636365,61
burroughs,b6925,0.06271072151045179,0.09506513026052105,0.09597097097097097,0.0,0.11538461538461539,0.36363636363636365,76
c.r.d,68/10-80,0.2043155765340526,0.002004008016032064,0.09284284284284285,0.0,0.019230769230769232,0.06818181818181818,23
c.r.d,universe:2203t,0.2043155765340526,0.014028056112224449,0.03028028028028028,0.015625,0.019230769230769232,0.017045454545454544,69
c.r.d,universe:68,0.2043155765340526,0.006012024048096192,0.09284284284284285,0.0,0.019230769230769232,0.03409090909090909,33
c.r.d,universe:68/05,0.2043155765340526,0.006012024048096192,0.04592092092092092,0.015625,0.019230769230769232,0.017045454545454544,27
c.r.d,universe:68/137,0.2043155765340526,0.014028056112224449,0.0772022022022022,0.015625,0.019230769230769232,0.028409090909090908,77
c.r.d,universe:68/37,0.2043155765340526,0.006012024048096192,0.0772022022022022,0.015625,0.019230769230769232,0.03409090909090909,27
cdc,cyber:170/750,0.005394470667565745,0.03901553106212425,0.03997747747747748,0.51171875,0.23076923076923078,0.13636363636363635,274
cdc,cyber:170/760,0.005394470667565745,0.03901553106212425,0.03997747747747748,0.51171875,0.23076923076923078,0.13636363636363635,368
